'RLVKEY';'SEMESTER';'TYP';'STUNDEN';'CREDITS';'LV_STATUS_NR';'LV_STATUS';'KOMPONENTEN_TYP';'FRAGE_TYP';'FRAGETEXT';'OPTIONEN';'ANTWORT';'OPTIONNR';'FREITEXT'
'681ea842af502a5';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:';'n/a';'-2';'-1';'Ein guter Fragebogen für eine wirklich tolle Vorlesung.'
'c6ae8e71d74f773';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Prof. Kietaibl trägt sehr spannend und enthusiastisch vor. Die Umstellung auf den online Betrieb funktionierte weitgehend problemlos'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'dass die VL online stattgefunden hat.'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Man bekommt einen guten Überblick über zahlreiche Rechtsthemen, die auch abseits des Studiums von Bedeutung bzw. hilfreich sind.'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Sehr informativ, Viele Fakten aus allen Teilbereichen'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Ich fand es sehr gut, dass nach anfänglichen Audiofiles, dann auf eine Live-Stream bei BBB umgestiegen wurde und so die LV fast unverändert zur Präsenzlehre abgehalten wurde.'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Sehr interessanter Vorlesungsstoff.'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Sehr strukturierter Vortrag. 
Trotz der Corona-Krise schaffte es Prof. Baumgartner die hohe Qualität der LV beizubehalten'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Mehr Beispiele zum besseren Verständnis wären sehr gut'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Videos zum flexiblen Nachschauen wären nicht schlecht gewesen.'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Folien besser ausbauen - teilweise zu wenig auf der Folie für das Verständnis'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine. '
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Der Stoff ist sehr komplex! Man kann die VL leider nicht mehr nachschauen, was die Prüfungsvorbereitung sehr erschwert.'
'c817964be63a24e';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Sprechtempo sehr schnell - vor allem für "Rechteinsteiger" (ohne bzw. mit nicht vielen Vorkenntnissen) zum Teil sehr schwierig zu folgen. Nochmal erschwerend hierzu kommt der Umstand, dass die jeweiligen Einheiten leider nicht aufgezeichnet werden - dies wäre gerdae hier meiner Meinung nach sehr hilfreich, nicht nur im Hinblick auf Überschneidungen mit anderen LVs.
Weiters wurden die jeweiligen Foliensätze teilweise etwas knapp vor der nächsten LV-Einheiten online gestellt, dies machte ein gutes Vorbereiten auf die Einheit bzw. Einarbeiten in die jeweilige Materie oft unnötig stressig und schwer.'
'6bb4bc747793c81';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'interessante Inhalte'
'6bb4bc747793c81';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Die Folien werden zu kurzfristig vor der LV ins Moodle reingestellt. '
'6bb4bc747793c81';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:';'n/a';'-2';'-1';':('
'4c46bc5eebf6759';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Jeder andere Prof. gibt sich zumindest etwas Mühe die LV online weiterzuführen; Mit Audofiles, LV über BBB, Zoom oder MSTeams.
Den Stoff auf Selbststudium zu reduzieren finde ich äußerst traurig.'
'8e660e5017ecb76';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die zur Verfügung gestellten Unterlagen und Herr Dr.Schmoller und Hr.Jenni, die sich sehr bemühen, dass obwohl keine Vorlesungen stattfinden wir alle benötigten Unterlagen bekommen.'
'8e660e5017ecb76';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Tolle Aufbereitung der Unterlagen. Die Onlinefragestunden waren sehr hilfreich.'
'8e660e5017ecb76';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Keine'
'8e660e5017ecb76';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'keine'
'5cb534a8364294f';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Nothing special'
'5cb534a8364294f';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Extrem lange in Laufzeit und sehr langweilig. Es war mir fast unmöglich dem Professor für 6 Stunden über Big Blue Botton zu zu hören.'
'5cb534a8364294f';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'More learning material, I couldn''t keep up'
'5cb534a8364294f';'20S';'VO';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Zu diesem Fragebogen/dieser Erhebung gebe ich folgendes Feedback:';'n/a';'-2';'-1';'no'
'f32ade7fe98f93c';'20S';'SE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Offene Fragen wurden beantwortet
positive Ausstrahlung der LV-Leiter trotz der Umstände
'
'f32ade7fe98f93c';'20S';'SE';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Die Termine für das wissenschaftliche Arbeiten hätte man in Zeus eintragen können (die Uhrzeiten und Daten waren andere und es gibt einen Grund wieso man sich für ein gewisses Seminar mit gewisse Uhrzeiten/Daten anmeldet)
Die extra Hausarbeit was wir bei Herrn Prof. Riss schreiben haben müssen, war unnötig, da man keinen Mehrwert daraus ziehen hat können
'
'892575f9fc13784';'20S';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'Beispiele hätten geholfen, den Stoff besser zu verstehen. Rückmeldungen zu den Zusammenfassungen wären für den Lernerfolg von Vorteil gewesen.'
'892575f9fc13784';'20S';'VC';2.0;4.0;'50';'genehmigt';'Uni';'FREITEXT';'Ich habe folgende Kritikpunkte und Verbesserungsvorschläge:';'n/a';'-2';'-1';'- aufbauender gestalten und nicht von so viel spezifischen Vorwissen ausgehen
- genauere Einführung um die Kernpunkte danach zu verstehen und sie miteinander in Verbindung zu bringen
- mehr Vernetzung der Inhalte

 diese Kritikpunkte sind wahrscheinlich auch der derzeitigen Kurssituation geschuldet, da man sich im Selbststudium die Zusammenhänge nur schwer erörtern kann
- es wäre schön gewesen trotzdem eine wöchentliche Einheit über Big Blue Button oder Zoom zu haben oder wenigstens eine Rückmeldung zu den Ausarbeitungen, um sich zu vergewissern dass man den behandelten Lehrstoff auch verstanden oder zumindest richtig angewendet hat'
'43fb7552775a311';'20S';'TU';2.0;0.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'das hohe Engagement von Katharina Leitsberger, die perfekt vorbereiteten und sehr umfangreichen Beispiele und die sehr guten Erklärungen dazu!'
'43fb7552775a311';'20S';'TU';2.0;0.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Anpassung an die Bedürfnisse der Studierenden (z.B. Uhrzeit)'
'43fb7552775a311';'20S';'TU';2.0;0.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Struktur & Folien'
'43fb7552775a311';'20S';'TU';2.0;0.0;'50';'genehmigt';'Uni';'FREITEXT';'An der LV gefällt mir besonders gut:';'n/a';'-2';'-1';'Die Videoaufzeichnung bietet eine wichtige Gelegenheit, zu den wichtigen Momenten zurückzukehren und den Lehrstoff besser zu verstehen.'
